Trial,Model,TF RMS,TF Error %,TF R2,TF R2 (normalized),SK RMS,SK Error %,SK R2,SK R2 (normalized)
0,year -> revenueNorm,0.00202655,37182.37711104046,-0.00435422978214,-0.00435422978214,0.00198340052275,40828.04324752975,0.0170323162394,0.0170323162394
1,budget -> revenueNorm,0.00160072,4539.562547234789,0.512235609403,0.512235609403,0.00160071910083,4539.560118696097,0.51223560893,0.51223560893
2,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueNorm",0.00222814,24151.363773057703,0.100043235481,0.100043235481,0.00222811201035,23727.34694943771,0.100055842397,0.100055842397
3,"Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00245886,33002.65132206179,0.0925345923393,0.0925345923393,0.00245886381478,33002.65152566697,0.092534591108,0.092534591108
4,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00273427,49669.888569104136,0.0305354920192,0.0305354920192,0.00273426702394,49669.886295683194,0.0305354802705,0.0305354802705
5,"year,budget -> revenueNorm",0.00338674,11944.231378427636,0.0868203554997,0.0868203554997,0.00170921028209,2517.6271763331206,0.539138425363,0.539138425363
6,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueNorm",0.0025571,33047.34942184908,0.00201738236253,0.00201738236253,0.00238075150177,27243.755252995055,0.0708422159934,0.0708422159934
7,"year,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00266904,25404.52872110733,0.0622584929262,0.0622584929262,0.00256669242843,30618.499741252428,0.0982189543032,0.0982189543032
8,"year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00242992,37246.98361155805,-0.0167442483591,-0.0167442483591,0.00222796192408,41443.90729804258,0.0677619575823,0.0677619575823
9,"budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueNorm",0.00187104,3673.082566933394,0.5616896311,0.5616896311,0.00186838617272,3259.958580925781,0.562312379603,0.562312379603
10,"budget,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00134429,5224.8653023987035,0.573984952001,0.573984952001,0.0013442883047,5224.858625249899,0.573984962556,0.573984962556
11,"budget,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00166855,3432.0358770197367,0.567851848837,0.567851848837,0.00166855487246,3432.034547603003,0.567851881475,0.567851881475
12,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00277482,29683.851179925536,0.133220226994,0.133220226994,0.0027421657302,25027.14103627268,0.143420212001,0.143420212001
13,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00307222,25235.3817871398,0.0640569073762,0.0640569073762,0.00307306724618,25377.294356905888,0.0637985416646,0.0637985416646
14,"Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00311959,33600.54679922597,0.110598439912,0.110598439912,0.00311958785966,33600.547257446175,0.110598441669,0.110598441669
15,"year,budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueNorm",0.00160277,7003.282555864345,0.560845961732,0.560845961732,0.00154387831243,4633.691234549541,0.576983114941,0.576983114941
16,"year,budget,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.0012866,1823.130931108981,0.506247872784,0.506247872784,0.00128005642471,1447.1469974450692,0.508760588901,0.508760588901
17,"year,budget,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00169608,3759.925037253748,0.554745084933,0.554745084933,0.00163990182862,3416.6511632207553,0.569491998693,0.569491998693
18,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00341129,21745.213560747117,0.0418367586391,0.0418367586391,0.00302164528163,14597.06931303593,0.151279039087,0.151279039087
19,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00211152,30169.828014175084,0.0370659937082,0.0370659937082,0.0019452442309,32720.79621284132,0.112893964341,0.112893964341
20,"year,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00244491,37233.90409786733,0.09413145458,0.09413145458,0.00234321683207,45395.21802259377,0.13180866943,0.13180866943
21,"budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00166849,4292.577563616441,0.511209098986,0.511209098986,0.00166623282399,4314.382699064462,0.511871474903,0.511871474903
22,"budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00212463,4009.120753967525,0.508510531369,0.508510531369,0.00212462921451,4008.903723505921,0.508510277311,0.508510277311
23,"budget,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00189172,7307.066810444126,0.549237852349,0.549237852349,0.00189172403844,7307.066746516782,0.549237870575,0.549237870575
24,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueNorm",0.00315036,23694.1968466283,0.122517905099,0.122517905099,0.00315035304797,23645.96742272462,0.122519661021,0.122519661021
25,"year,budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueNorm",0.00195434,9907.895933457647,0.477064548522,0.477064548522,0.00182507248586,3488.914935003625,0.511653955499,0.511653955499
